community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Paris,29.0,NormalPredictor,0.25,3,1.738396816123598,3.022023490308663,1.4091811404929484
Paris,30.0,NormalPredictor,0.25,3,1.738687142954552,3.023032981075463,1.4097928340137373
Paris,31.0,NormalPredictor,0.25,3,1.7385802133341346,3.022661158196965,1.40934934546951
Paris,32.0,NormalPredictor,0.25,3,1.736981077993962,3.017103265309067,1.4079055429031684
Paris,33.0,NormalPredictor,0.25,3,1.7371828627535595,3.0178042986446525,1.4080763931790796
Paris,34.0,NormalPredictor,0.25,3,1.7359429756688125,3.0134980147738912,1.4069620726080883
Paris,35.0,NormalPredictor,0.25,3,1.735826319946416,3.0130930130187172,1.4067939889730683
Paris,36.0,NormalPredictor,0.25,3,1.7362746037655636,3.0146494996812647,1.4070299856364934
Paris,37.0,NormalPredictor,0.25,3,1.7364222304923824,3.0151621625481404,1.4072241225180864
Paris,38.0,NormalPredictor,0.25,3,1.735869551411778,3.0132430995185273,1.4066174428780898
Paris,39.0,NormalPredictor,0.25,3,1.7359447496704197,3.0135041739082964,1.4070554966408506
Paris,40.0,NormalPredictor,0.25,3,1.73643938157448,3.015221725882763,1.4077145067128507
Paris,41.0,NormalPredictor,0.25,3,1.7362846113060042,3.014684251458042,1.40769487645397
Paris,42.0,NormalPredictor,0.25,3,1.7363384230450427,3.0148711193425455,1.407468239663919
Paris,43.0,NormalPredictor,0.25,3,1.736805918246897,3.0164947976574465,1.407831242314548
Paris,44.0,NormalPredictor,0.25,3,1.7362052079303862,3.0144085240445957,1.407465971450605
Paris,45.0,NormalPredictor,0.25,3,1.7358313818289643,3.013110586142252,1.407489407127702
Paris,46.0,NormalPredictor,0.25,3,1.7360727775615794,3.013948688990377,1.407753351515042
Paris,47.0,NormalPredictor,0.25,3,1.7362766659487225,3.014656660718012,1.4079522856136997
Paris,1.0,SVD,0.25,3,1.3578620930677692,1.8437894637903829,1.1216010282693565
Paris,2.0,SVD,0.25,3,1.3574015299368045,1.8425389134747776,1.120657164836202
Paris,3.0,SVD,0.25,3,1.3560974032208193,1.839000167022249,1.1190382790319677
Paris,4.0,SVD,0.25,3,1.3551128575753923,1.8363308567661456,1.1179391960772966
Paris,5.0,SVD,0.25,3,1.354455937755262,1.834550887320486,1.1169432101445784
Paris,6.0,SVD,0.25,3,1.3537197145317483,1.8325570655119183,1.1157871127702834
Paris,7.0,SVD,0.25,3,1.3539819765777228,1.8332671928973168,1.1160011426405296
Paris,8.0,SVD,0.25,3,1.35499423894621,1.8360093875774188,1.1167615025199766
Paris,9.0,SVD,0.25,3,1.3559376789743554,1.8385669892623617,1.1175901608620333
Paris,10.0,SVD,0.25,3,1.3570212193122777,1.8415065896637808,1.1184648637380952
Paris,11.0,SVD,0.25,3,1.3575453305703313,1.84292932455331,1.1188397662135772
Paris,12.0,SVD,0.25,3,1.3573248065270582,1.8423306304137161,1.1184008004828665
Paris,13.0,SVD,0.25,3,1.3567164280316135,1.84067946609086,1.1175215301386565
Paris,14.0,SVD,0.25,3,1.3563260858570503,1.8396204511763066,1.1171127140301165
Paris,15.0,SVD,0.25,3,1.35602962768683,1.8388163511644826,1.1166927076097977
Paris,16.0,SVD,0.25,3,1.355520690313698,1.8374363418685247,1.116104461835021
Paris,17.0,SVD,0.25,3,1.3550144110802005,1.8360640542350226,1.115560617072607
Paris,18.0,SVD,0.25,3,1.3545258361743804,1.8347402408639044,1.115098175275877
Paris,19.0,SVD,0.25,3,1.3543754253814537,1.834332792877194,1.1148679711269438
Paris,20.0,SVD,0.25,3,1.3542281864780792,1.8339339810517075,1.1145742916112842
Paris,21.0,SVD,0.25,3,1.3539262014559743,1.8331161589890035,1.1142427507334274
Paris,22.0,SVD,0.25,3,1.3537273991520062,1.8325778712148553,1.1139672758448746
Paris,23.0,SVD,0.25,3,1.3534333647347745,1.831781872777293,1.113639359522676
Paris,24.0,SVD,0.25,3,1.353044116795596,1.8307283819951745,1.1132171936957045
Paris,25.0,SVD,0.25,3,1.3526323356695946,1.8296142354989828,1.11279680436977
Paris,26.0,SVD,0.25,3,1.3522428064126468,1.8285606074947511,1.1124098439158412
Paris,27.0,SVD,0.25,3,1.351760075604865,1.8272553019992708,1.1119416814005594
Paris,28.0,SVD,0.25,3,1.3511901028904345,1.825714694149063,1.111313397954505
Paris,29.0,SVD,0.25,3,1.3506570089068608,1.8242743557092278,1.110767468757044
Paris,30.0,SVD,0.25,3,1.3501989158163037,1.8230371122715219,1.1103413697990887
Paris,31.0,SVD,0.25,3,1.3498769027212154,1.8221676525002217,1.1100825456900036
Paris,32.0,SVD,0.25,3,1.3496542240120162,1.8215665243934773,1.109907191576154
Paris,33.0,SVD,0.25,3,1.3494296216296162,1.8209603037314495,1.109702790399391
Paris,34.0,SVD,0.25,3,1.3490538177653304,1.8199462032272136,1.1093350153846675
Paris,35.0,SVD,0.25,3,1.348730418797255,1.8190737425890193,1.1089823182283758
Paris,36.0,SVD,0.25,3,1.3484453813648347,1.8183049465241543,1.1087226157365264
Paris,37.0,SVD,0.25,3,1.348347325595343,1.8180405104401143,1.1086801809352131
Paris,38.0,SVD,0.25,3,1.3483174935962048,1.8179600635375515,1.108666889788189
Paris,39.0,SVD,0.25,3,1.348383261878115,1.8181374209130654,1.1087407071526802
Paris,40.0,SVD,0.25,3,1.348457206818183,1.818336838619896,1.1088597501210686
Paris,41.0,SVD,0.25,3,1.3486494175203814,1.8188552513780638,1.1091178746558739
Paris,42.0,SVD,0.25,3,1.3489016960362712,1.8195357855695289,1.1094475006235507
Paris,43.0,SVD,0.25,3,1.3491466369824914,1.8201966480811664,1.1097867713657867
Paris,44.0,SVD,0.25,3,1.3493532681708234,1.820754242323282,1.1100763284340667
Paris,45.0,SVD,0.25,3,1.3496859699248123,1.8216522174118814,1.1104800933802843
Paris,46.0,SVD,0.25,3,1.3499520928479873,1.822370652984661,1.1108109557869765
Paris,47.0,SVD,0.25,3,1.350206563614353,1.8230577644272796,1.111097887566397
Paris,1.0,k-NN,0.25,3,1.3104281570917191,1.7172219548987995,1.0791658009408245
Paris,2.0,k-NN,0.25,3,1.3096443150679027,1.7151682319896757,1.0783100335609306
Paris,3.0,k-NN,0.25,3,1.3099728247847766,1.7160288016746073,1.079172821074151
Paris,4.0,k-NN,0.25,3,1.3093171175000478,1.7143113141786341,1.0780890113744588
Paris,5.0,k-NN,0.25,3,1.3089080736061436,1.7132403451513458,1.0774010657354054
Paris,6.0,k-NN,0.25,3,1.3084042099219328,1.7119215765414373,1.076440201492372
Paris,7.0,k-NN,0.25,3,1.30959181178408,1.7150307134919092,1.077541384727135
