community_detector,used_communities,community,algorithm_rec,test_size,split_id,train_runtime,test_runtime
Paris,22.0,29.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,30.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,31.0,NormalPredictor,0.25,1,0.0010004043579101562,0.0
Paris,22.0,32.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,33.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,34.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,99.0,NormalPredictor,0.25,1,0.003935337066650391,0.010196924209594727
Paris,23.0,13.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,23.0,14.0,NormalPredictor,0.25,1,0.0010001659393310547,0.0
Paris,23.0,15.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,23.0,16.0,NormalPredictor,0.25,1,0.0010023117065429688,0.0
Paris,23.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,23.0,18.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
