community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Louvain,1.0,NormalPredictor,0.1,2,1.5278694332783678,2.334385005146361,1.231117715173628
Louvain,2.0,NormalPredictor,0.1,2,1.5227961492747597,2.318908112246036,1.2230220573745494
Louvain,3.0,NormalPredictor,0.1,2,1.5295193882302318,2.3394295589721827,1.2289233775261956
Louvain,4.0,NormalPredictor,0.1,2,1.5308371615108065,2.3434624150624632,1.2302966747294204
Louvain,1.0,SVD,0.1,2,1.2742639405375662,1.6237485901543258,1.0464050938742764
Louvain,2.0,SVD,0.1,2,1.2700422174513326,1.6130072341086978,1.042605796803529
Louvain,3.0,SVD,0.1,2,1.267657004393938,1.6069542807890123,1.039422663308977
Louvain,4.0,SVD,0.1,2,1.2634578718902014,1.5963257940413165,1.0362224035605145
Louvain,1.0,k-NN,0.1,2,1.514701788343705,2.294321507611618,1.2397034218424008
Louvain,2.0,k-NN,0.1,2,1.5051975752466762,2.2656197405284737,1.2293632871091638
Louvain,3.0,k-NN,0.1,2,1.4853577847590633,2.206287748744352,1.2118204721522374
Louvain,4.0,k-NN,0.1,2,1.4797394623162357,2.1896288763359424,1.2058646446753725
Louvain,1.0,NMF,0.1,2,1.539542728424767,2.3701918126455754,1.2565221051535627
Louvain,2.0,NMF,0.1,2,1.5371508696363745,2.3628327960238624,1.253899874471954
Louvain,3.0,NMF,0.1,2,1.5214619935032923,2.3148465976750123,1.2412771208081452
Louvain,4.0,NMF,0.1,2,1.51854476111415,2.305978191507231,1.2383372646764694
Louvain,1.0,Co-Clustering,0.1,2,1.5498912514787453,2.4021628914103514,1.26527183304343
Louvain,2.0,Co-Clustering,0.1,2,1.5366747254639583,2.361369211879732,1.2520344949036026
Louvain,3.0,Co-Clustering,0.1,2,1.518401525045806,2.3055431912614295,1.2359293638377367
Louvain,4.0,Co-Clustering,0.1,2,1.5096174133667928,2.278944734740246,1.2282094512877972
Louvain,1.0,SlopeOne,0.1,2,1.5154047996474287,2.296451706794463,1.2346286241567104
Louvain,2.0,SlopeOne,0.1,2,1.510085882315936,2.2803593719698987,1.2284550628724118
Louvain,3.0,SlopeOne,0.1,2,1.4942582001947136,2.2328075688491444,1.215033234684321
Louvain,4.0,SlopeOne,0.1,2,1.486569476097741,2.2098888072655125,1.208233975060552
Paris,1.0,NormalPredictor,0.1,2,1.4961822244999594,2.238561248909647,1.194592438319401
Paris,2.0,NormalPredictor,0.1,2,1.5059706752253972,2.267947674638839,1.2074164085352288
Paris,1.0,SVD,0.1,2,1.2572425575461714,1.5806588485052382,1.0315278040280709
Paris,2.0,SVD,0.1,2,1.2572105344793802,1.580578328005929,1.0312444309014042
Paris,1.0,k-NN,0.1,2,1.4819867242300715,2.196284650794178,1.206387176732078
Paris,2.0,k-NN,0.1,2,1.4819867242300713,2.1962846507941776,1.206387176732078
Paris,1.0,NMF,0.1,2,1.5331274596804632,2.35047980762627,1.2485903695239304
Paris,2.0,NMF,0.1,2,1.5364512717385612,2.360682510427042,1.2522349255757659
Paris,1.0,Co-Clustering,0.1,2,1.5172557517004326,2.302065016068045,1.2336564051578864
Paris,2.0,Co-Clustering,0.1,2,1.5204233674018592,2.311687216141609,1.2351698392341643
Paris,1.0,SlopeOne,0.1,2,1.5002214354231689,2.250664355303153,1.2201560863411265
Paris,2.0,SlopeOne,0.1,2,1.5002214354231689,2.2506643553031536,1.2201560863411265
Not-Applicable,,NormalPredictor,0.1,3,1.5219526246480095,2.3163397916729647,1.2184523936083014
