dataset,similarity_metric,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
ml-100k,cosine,Louvain,Co-Clustering,0.1,9,1.348232785580196,1.8177316441133353,1.0858209743232614
ml-100k,cosine,Paris,SVD,0.1,9,1.2492039679613767,1.5605105535704482,1.0117908273734206
ml-100k,cosine,Paris,k-NN,0.1,9,1.2705314674545054,1.614250209792099,1.0316443072900054
ml-100k,cosine,Paris,NMF,0.1,9,1.3501985340048244,1.823036081228777,1.0932766683602835
ml-100k,cosine,Paris,Co-Clustering,0.1,9,1.338531617287146,1.7916668904773427,1.0833728904370985
ml-100k,cosine,Surprise,SVD,0.1,9,1.2260836841758287,1.5032812006021734,0.9919349781725153
ml-100k,cosine,Surprise,k-NN,0.1,9,1.3269973872713967,1.7609220658251135,1.0673862638795197
ml-100k,cosine,Surprise,NMF,0.1,9,1.3702537025855204,1.8775952094493276,1.1090233379296244
ml-100k,cosine,Surprise,Co-Clustering,0.1,9,1.3534212282721152,1.8317490211376009,1.0926254488938514
ml-100k,l1,Not-Applicable,SVD,0.1,9,0.9423550953267178,0.8880331256882275,0.7412269894111768
ml-100k,l1,Not-Applicable,k-NN,0.1,9,0.9797178011079872,0.9598469698078695,0.7722808736202771
ml-100k,l1,Not-Applicable,NMF,0.1,9,0.9627839847557097,0.9269530013020827,0.7565185854654007
ml-100k,l1,Not-Applicable,Co-Clustering,0.1,9,0.9693044151543437,0.9395510492377043,0.757643353261348
ml-100k,l1,Louvain,SVD,0.1,9,1.2436803925730535,1.5467409188706644,1.010120740630613
ml-100k,l1,Louvain,k-NN,0.1,9,1.2838582543581203,1.6482920172834796,1.0403025115159994
ml-100k,l1,Louvain,NMF,0.1,9,1.3683655698089876,1.8724243326386754,1.1091892165329396
ml-100k,l1,Louvain,Co-Clustering,0.1,9,1.347920872909859,1.8168906796260766,1.0875122672369546
ml-100k,l1,Paris,SVD,0.1,9,1.2453672409871999,1.5509395649240703,1.0100594313318902
ml-100k,l1,Paris,k-NN,0.1,9,1.2715046685213185,1.616724122071508,1.0305894980774086
ml-100k,l1,Paris,NMF,0.1,9,1.34622346286665,1.8123176119726745,1.0906706206189551
ml-100k,l1,Paris,Co-Clustering,0.1,9,1.3375889685135023,1.7891442486890148,1.0821451196350405
ml-100k,l1,Surprise,SVD,0.1,9,1.2254672829043385,1.501770061468942,0.9881699761386582
ml-100k,l1,Surprise,k-NN,0.1,9,1.2491108606226742,1.5602779421255177,1.000799015542181
ml-100k,l1,Surprise,NMF,0.1,9,1.2903924881519648,1.6651127734790188,1.0362618310165193
ml-100k,l1,Surprise,Co-Clustering,0.1,9,1.2784079032826163,1.634326767175455,1.0237886986461517
ml-100k,l2,Not-Applicable,SVD,0.1,9,0.9380395260209746,0.8799181523776548,0.7392824602471354
ml-100k,l2,Not-Applicable,k-NN,0.1,9,0.9797178011079872,0.9598469698078695,0.7722808736202771
ml-100k,l2,Not-Applicable,NMF,0.1,9,0.9675985028152988,0.9362468626504078,0.7592284260620424
ml-100k,l2,Not-Applicable,Co-Clustering,0.1,9,0.9690547213377584,0.9390670529470005,0.7582264805355781
ml-100k,l2,Louvain,SVD,0.1,9,1.2429744153821611,1.5449853972946253,1.008356727973318
ml-100k,l2,Louvain,k-NN,0.1,9,1.2864771343514068,1.6550234172090075,1.0409539910583723
ml-100k,l2,Louvain,NMF,0.1,9,1.3617824967170744,1.8544515683649885,1.1010461837908008
ml-100k,l2,Louvain,Co-Clustering,0.1,9,1.3573188479567209,1.8423144550185602,1.0915120540688015
ml-100k,l2,Paris,SVD,0.1,9,1.2492227993979408,1.560557602535628,1.0118388743744122
ml-100k,l2,Paris,k-NN,0.1,9,1.2918093156958441,1.668771308118565,1.0438511842019598
ml-100k,l2,Paris,NMF,0.1,9,1.3658020671567126,1.8654152866495493,1.1033295620498758
ml-100k,l2,Paris,Co-Clustering,0.1,9,1.3549792966746304,1.8359688944168757,1.0918943322881558
ml-100k,l2,Surprise,SVD,0.1,9,1.2199571689276234,1.488295494017902,0.985245558798739
ml-100k,l2,Surprise,k-NN,0.1,9,1.2571848396359508,1.5805137210104716,1.0076495620786934
ml-100k,l2,Surprise,NMF,0.1,9,1.2994798873593567,1.6886479776514862,1.0459219390563064
ml-100k,l2,Surprise,Co-Clustering,0.1,9,1.2845355591101415,1.6500316026184039,1.0304699009760054
ml-100k,euclidean,Not-Applicable,SVD,0.1,10,0.935915634087489,0.8759380741293866,0.7344242673231556
ml-100k,euclidean,Not-Applicable,k-NN,0.1,10,0.9716881771874814,0.9441779136859301,0.7691319323775638
ml-100k,euclidean,Not-Applicable,NMF,0.1,10,0.9631660446977001,0.927688829658612,0.7593369676197981
ml-100k,euclidean,Not-Applicable,Co-Clustering,0.1,10,0.9599020329985444,0.9214119129547386,0.7507581502421656
ml-100k,euclidean,Louvain,SVD,0.1,10,1.2442314238253398,1.5481118360344324,1.011530770545312
ml-100k,euclidean,Louvain,k-NN,0.1,10,1.3156854619428764,1.7310282347678403,1.0603314362899587
ml-100k,euclidean,Louvain,NMF,0.1,10,1.3752728144421849,1.8913753141437282,1.116748945666381
ml-100k,euclidean,Louvain,Co-Clustering,0.1,10,1.376364150886578,1.8943782758457308,1.1088725626776021
ml-100k,euclidean,Paris,SVD,0.1,10,1.2028949834464913,1.4469563412007345,0.9750440125856363
ml-100k,euclidean,Paris,k-NN,0.1,10,1.3460212069124657,1.8117730894580908,1.0669926963292047
ml-100k,euclidean,Paris,NMF,0.1,10,1.3921620817854679,1.9381152619612474,1.1205267066023166
ml-100k,euclidean,Paris,Co-Clustering,0.1,10,1.3617211108649365,1.854284383775237,1.0900087334991935
ml-100k,euclidean,Surprise,SVD,0.1,10,1.2265117368776959,1.5043310406987425,0.9925023124929117
ml-100k,euclidean,Surprise,k-NN,0.1,10,1.2726028716239566,1.6195180688655404,1.021099248064237
ml-100k,euclidean,Surprise,NMF,0.1,10,1.3010824096868587,1.692815436796563,1.0504831277381603
ml-100k,euclidean,Surprise,Co-Clustering,0.1,10,1.298463268223156,1.6860068589247599,1.0424981816760055
ml-100k,cosine,Not-Applicable,SVD,0.1,10,0.9322719340747825,0.8691309590635355,0.7336732389171703
ml-100k,cosine,Not-Applicable,k-NN,0.1,10,0.9716881771874814,0.9441779136859301,0.7691319323775638
ml-100k,cosine,Not-Applicable,NMF,0.1,10,0.9617580515272647,0.9249785496775207,0.7571875075202655
ml-100k,cosine,Not-Applicable,Co-Clustering,0.1,10,0.9609561116265751,0.9234366484724668,0.7536748804991829
ml-100k,cosine,Louvain,SVD,0.1,10,1.2376086932029808,1.53167527749159,1.0053954003115397
ml-100k,cosine,Louvain,k-NN,0.1,10,1.3135489375992795,1.725410811468196,1.061420120538886
ml-100k,cosine,Louvain,NMF,0.1,10,1.384018994206447,1.9155085763242252,1.116833416359516
ml-100k,cosine,Louvain,Co-Clustering,0.1,10,1.37451533954775,1.8892924186520668,1.1090326362843148
ml-100k,cosine,Paris,SVD,0.1,10,1.2538607565042759,1.5721667967014747,1.0181437968871714
ml-100k,cosine,Paris,k-NN,0.1,10,1.291801829188104,1.668751965893731,1.0453400269421194
ml-100k,cosine,Paris,NMF,0.1,10,1.3591217661925503,1.8472119753383573,1.1015669785750193
ml-100k,cosine,Paris,Co-Clustering,0.1,10,1.3586250522078347,1.8458620324867416,1.0971393701576513
ml-100k,cosine,Surprise,SVD,0.1,10,1.2287441584290069,1.5098122068734081,0.9949491285500962
ml-100k,cosine,Surprise,k-NN,0.1,10,1.32798657689541,1.7635483484143888,1.0632290004785825
ml-100k,cosine,Surprise,NMF,0.1,10,1.3751825291394928,1.891126988450492,1.1084769403586119
ml-100k,cosine,Surprise,Co-Clustering,0.1,10,1.3610834947877384,1.8525482797836037,1.0908865811868556
ml-100k,l1,Not-Applicable,SVD,0.1,10,0.9354458681351838,0.8750589722111878,0.7358846648181472
ml-100k,l1,Not-Applicable,k-NN,0.1,10,0.9716881771874814,0.9441779136859301,0.7691319323775638
ml-100k,l1,Not-Applicable,NMF,0.1,10,0.9528513523877841,0.907925699747229,0.7502651177133385
ml-100k,l1,Not-Applicable,Co-Clustering,0.1,10,0.9638512108367145,0.9290091566314007,0.7531591688190779
ml-100k,l1,Louvain,SVD,0.1,10,1.2465577713599612,1.553906277337913,1.0113049560106928
ml-100k,l1,Louvain,k-NN,0.1,10,1.3165452625233833,1.7332914282727643,1.0625376054775173
ml-100k,l1,Louvain,NMF,0.1,10,1.3754863071076489,1.8919625810406375,1.1166142166659017
ml-100k,l1,Louvain,Co-Clustering,0.1,10,1.3725908107435938,1.8840055337377561,1.1053418157492232
ml-100k,l1,Paris,SVD,0.1,10,1.2560825037352787,1.5777432561898868,1.0192036340899295
ml-100k,l1,Paris,k-NN,0.1,10,1.2884198259544288,1.660025647912441,1.0410445070135077
ml-100k,l1,Paris,NMF,0.1,10,1.3576189106877579,1.8431291066570143,1.1024063356086353
ml-100k,l1,Paris,Co-Clustering,0.1,10,1.3524042779622014,1.8289973310504635,1.0907580002788235
ml-100k,l1,Surprise,SVD,0.1,10,1.2212918491205462,1.4915537807282828,0.9878769211049221
ml-100k,l1,Surprise,k-NN,0.1,10,1.262854424523972,1.5948012975397723,1.0140525418735526
ml-100k,l1,Surprise,NMF,0.1,10,1.2830136741265252,1.6461240879956456,1.03415784599763
ml-100k,l1,Surprise,Co-Clustering,0.1,10,1.279798135669576,1.6378832680633224,1.0258273295796558
ml-100k,l2,Not-Applicable,SVD,0.1,10,0.9313367575404273,0.8673881559459167,0.7334250703705167
ml-100k,l2,Not-Applicable,k-NN,0.1,10,0.9716881771874814,0.9441779136859301,0.7691319323775638
ml-100k,l2,Not-Applicable,NMF,0.1,10,0.9576558087728197,0.9171046480763234,0.7563259351628876
ml-100k,l2,Not-Applicable,Co-Clustering,0.1,10,0.959111653396323,0.9198951636806283,0.7494532006729931
ml-100k,l2,Louvain,SVD,0.1,10,1.2457838694142693,1.5519774492927891,1.011042974088309
ml-100k,l2,Louvain,k-NN,0.1,10,1.307739954373511,1.7101837882648327,1.0544439210317875
ml-100k,l2,Louvain,NMF,0.1,10,1.3818873972977157,1.9096127788102546,1.1187916250537915
ml-100k,l2,Louvain,Co-Clustering,0.1,10,1.3677615297751446,1.8707716023328438,1.102700232981995
ml-100k,l2,Paris,SVD,0.1,10,1.200866778010699,1.4420810185297972,0.973763878998549
ml-100k,l2,Paris,k-NN,0.1,10,1.3460212069124657,1.8117730894580908,1.0669926963292047
ml-100k,l2,Paris,NMF,0.1,10,1.3976123670743361,1.9533203285991287,1.125180041025064
ml-100k,l2,Paris,Co-Clustering,0.1,10,1.3657412479935729,1.8652491564710418,1.0914686737777777
